id,category_code,degree,domain_name,original_phases,replace_type,target_produced_words1,target_produced_words2,Word,Sentiment
14480,27,80,general,self confidence,Ngram,self-confidence,self-confidence,self-confidence,Positive
14481,28,80,general,get a rise out of,Ngram,get-a-rise-out-of,get-a-rise-out-of,get-a-rise-out-of,Negative
14482,28,80,general,thorn in one's side,Ngram,thorn-in-one's-side,thorn-in-ones-side,thorn-in-one's-side,Negative
14483,27,80,general,self contented,Ngram,self-contented,self-contented,self-contented,Positive
14484,28,80,general,get gray hair,Ngram,get-gray-hair,get-gray-hair,get-gray-hair,Negative
14485,28,80,general,thrilling situation,Ngram,thrilling-situation,thrilling-situation,thrilling-situation,Negative
14486,27,80,general,self esteem,Ngram,self-esteem,self-esteem,self-esteem,Positive
14487,28,80,general,get on one's nerves,Ngram,get-on-one's-nerves,get-on-ones-nerves,get-on-one's-nerves,Negative
14488,28,80,general,throw cold water on,Ngram,throw-cold-water-on,throw-cold-water-on,throw-cold-water-on,Negative
14489,27,80,general,self love,Ngram,self-love,self-love,self-love,Positive
14490,28,80,general,get one's comeuppance,Ngram,get-one's-comeuppance,get-ones-comeuppance,get-one's-comeuppance,Negative
14491,28,80,general,throw for a loop,Ngram,throw-for-a-loop,throw-for-a-loop,throw-for-a-loop,Negative
14492,27,80,general,self pleased,Ngram,self-pleased,self-pleased,self-pleased,Positive
14493,28,80,general,get the brush,Ngram,get-the-brush,get-the-brush,get-the-brush,Negative
14494,28,80,general,throw into a tizzy,Ngram,throw-into-a-tizzy,throw-into-a-tizzy,throw-into-a-tizzy,Negative
14495,27,80,general,self possessed,Ngram,self-possessed,self-possessed,self-possessed,Positive
14496,28,80,general,get under skin,Ngram,get-under-skin,get-under-skin,get-under-skin,Negative
14497,28,80,general,throw off,Ngram,throw-off,throw-off,throw-off,Negative
14498,27,80,general,self regard,Ngram,self-regard,self-regard,self-regard,Positive
14499,28,80,general,give a black eye,Ngram,give-a-black-eye,give-a-black-eye,give-a-black-eye,Negative
14500,28,80,general,throw off balance,Ngram,throw-off-balance,throw-off-balance,throw-off-balance,Negative
14501,27,80,general,self respect,Ngram,self-respect,self-respect,self-respect,Positive
14502,28,80,general,give the cold shoulder,Ngram,give-the-cold-shoulder,give-the-cold-shoulder,give-the-cold-shoulder,Negative
14503,28,80,general,throw to the dogs,Ngram,throw-to-the-dogs,throw-to-the-dogs,throw-to-the-dogs,Negative
14504,27,80,general,self satisfaction,Ngram,self-satisfaction,self-satisfaction,self-satisfaction,Positive
14505,28,80,general,go to the dogs,Ngram,go-to-the-dogs,go-to-the-dogs,go-to-the-dogs,Negative
14506,28,80,general,throwing a fit,Ngram,throwing-a-fit,throwing-a-fit,throwing-a-fit,Negative
14507,27,80,general,self satisfied,Ngram,self-satisfied,self-satisfied,self-satisfied,Positive
14508,28,80,general,god-awful,Ngram,god-awful,god-awful,god-awful,Negative
14509,28,80,general,thrown off balance,Ngram,thrown-off-balance,thrown-off-balance,thrown-off-balance,Negative
14510,27,80,general,self sufficiency,Ngram,self-sufficiency,self-sufficiency,self-sufficiency,Positive
14511,28,80,general,gone to pieces,Ngram,gone-to-pieces,gone-to-pieces,gone-to-pieces,Negative
14512,28,80,general,tick off,Ngram,tick-off,tick-off,tick-off,Negative
14513,27,80,general,self trust,Ngram,self-trust,self-trust,self-trust,Positive
14514,28,80,general,good-for-nothing,Ngram,good-for-nothing,good-for-nothing,good-for-nothing,Negative
14515,28,80,general,ticked off,Ngram,ticked-off,ticked-off,ticked-off,Negative
